extension,amount,size-mb
0,2,0.71
1,12,0.72
11,2,0.03
2,3,0.00
30-2003,1,0.00
5,4,0.03
703-2020,1,0.00
75_0,1,0.00
8,2,0.00
a,2,1.10
aff,2,0.07
ai,2,0.43
applescript,1,0.00
archive,1,0.00
archive-tests-2025-01-10,1,0.00
bat,7,0.00
bin,4,5.69
bitwarden,1,0.00
bnf,4,0.00
browserslistrc,1,0.00
bsd,6,0.01
build,1,0.00
canvas,3,0.00
cfg,5,0.00
cjs,60,3.74
ckpt,2,8.72
closure-compiler,2,0.02
club alias,2,0.00
cnf,4,0.00
coffee,4,0.00
conf,28,0.01
config,6,0.00
context,15,0.01
csh,1,0.00
css,134,1.93
csv,326,154.27
cts,13,0.23
cu,1,0.01
cursorrules,2,0.00
d,1,0.00
dart,5,0.02
db,6,0.47
db-shm,1,0.03
db-wal,2,6.02
db_jedutechnicsmarathon,1,0.00
def,10,0.03
development-growth,1,0.00
dist,1,0.00
doc,4,0.11
dockerfile,1,0.00
docx,80,3.53
ds_store,432,0.05
editorconfig,1,0.00
ejs,12,0.02
entrepreneurship-startup-business,1,0.00
env,6,0.00
eps,16,21.71
eslintignore,1,0.00
eslintrc,1,0.00
esprima,2,0.00
example,3,0.00
exe,14,1.37
family,1,0.00
finance,1,0.00
firsova6c [535278],1,0.00
fish,1,0.00
flow,6,0.66
gif,12,29.02
git,11,0.00
git_2,2,0.00
git_orig,1,0.00
git_source,1,0.00
gitattributes,4,0.00
github,3,0.00
gitignore,15,0.00
gitkeep,1,0.00
gitreview,1,0.00
go,411,2.66
gptignore,1,0.00
gql,3,0.00
gz,4,1.92
h,3,0.01
har,1,0.41
health,1,0.00
home-projects-and-deals,1,0.00
hosts,1,0.00
htaccess,1,0.00
html,142,64.05
ico,26,0.19
idx,116,4.08
iml,3,0.00
ini,14,0.01
interfaces,1,0.00
ipynb,36,0.48
j2,3,0.00
jpeg,35,1.06
jpg,251,24.94
js,11081,287.33
jshintrc,1,0.00
json,2999,535.16
jsonl,4,1.90
jst,50,0.10
jsx,9,0.02
k,1,0.00
la,4,0.00
lcov,1,0.00
less,1,0.01
lock,29,5.83
log,260,3.58
ly9azgfydd0zljm=,1,5.11
map,4152,39.29
markdown,12,0.05
md,5566,40.95
md alias,4,0.00
mdx,366,0.76
merge,2,0.00
mjs,230,3.02
mod,2,0.01
mp4,8,72.39
mts,53,0.15
ncx,2,0.00
nftgemway,1,0.00
no_extension,15354,183.56
node,3,2.40
o,1,0.10
obsidian,2,0.00
obsidiansync,1,0.00
oga,6,9.95
onnx,8,19.08
opf,2,0.00
p2,1,0.00
pack,116,524.48
parquet,10,14.71
passwd,4,0.00
patch,2,0.01
pdf,347,267.72
pem,2,0.55
phar,1,2.73
php,372,0.37
pkl,15,2.04
png,597,74.21
prettierrc,2,0.00
prisma,1,0.00
pro,1,0.00
pro alias,2,0.00
prompt,5,0.01
properties,1,0.00
proto,62,0.30
ps1,1,0.01
pt,2,11.61
pth,5,32.14
puml,35,0.02
py,2009,16.20
py__,5,0.00
pyc,1757,18.82
rdp,2,0.00
realpath,2,0.00
references,42,0.01
refs,12,0.01
rest-recovery,1,0.00
rev,86,0.44
rs,1,0.00
rst,3,0.00
rtf,2,0.34
sample,1945,3.09
save,2,0.00
scandir,2,0.00
scss,332,0.50
service,2,0.00
sh,184,1.28
sharing-donation,1,0.00
shishkin-master-patch-60459,2,0.00
snap,45,0.22
snapshot,2,24.67
so,10,3.16
social,1,0.00
sol,204,0.33
sport,1,0.00
sprints,1,0.00
sql,18,13.47
sqlite,2,9.19
stat,3,0.00
styl,3,0.01
sum,2,0.13
svg,305,3.63
system-growth-second-brain,1,0.00
template,7,0.00
test,3,0.00
tmpl,2,0.00
todo,1,0.00
toml,10,0.01
tools,1,0.00
traineddata,4,7.61
travels,1,0.00
ts,4846,30.75
tsx,881,2.89
ttf,44,17.12
twig,4,0.01
txt,407,19.82
typed,24,0.00
uuid,12,0.00
vega,1,0.00
vm-routes,1,0.00
vue,22,0.06
walk,3,0.00
webm,12,182.84
webmanifest,8,0.00
webp,55,9.00
windsurfrules,1,0.00
woff,55,4.51
woff2,56,3.14
xls,1,0.01
xlsx,14,1.27
xml,93,4.33
xz,40,4.50
yaml,167,1.22
yamllint,1,0.00
yarnrc,1,0.00
yml,235,0.32
zip,1703,418.99
zst,2,0.11
